choices,feedback,value1,value2,role,trial,alpha,tau,hider_choices,agent_id
1,1,0.08518985093834319,4.1069528247729165e-6,picker,54,0.9148060434963554,4.685377066489309,1,1
1,1,0.9220637039517486,4.1069528247729165e-6,picker,55,0.9148060434963554,4.685377066489309,1,1
1,1,0.9933602985844101,4.1069528247729165e-6,picker,56,0.9148060434963554,4.685377066489309,1,1
1,1,0.9994343375664031,4.1069528247729165e-6,picker,57,0.9148060434963554,4.685377066489309,1,1
1,1,0.9999518089792364,4.1069528247729165e-6,picker,58,0.9148060434963554,4.685377066489309,1,1
1,1,0.9999958944162732,4.1069528247729165e-6,picker,59,0.9148060434963554,4.685377066489309,1,1
1,1,0.9999996502290786,4.1069528247729165e-6,picker,60,0.9148060434963554,4.685377066489309,1,1
1,1,0.9999999702016313,4.1069528247729165e-6,picker,61,0.9148060434963554,4.685377066489309,1,1
1,1,0.999999997461359,4.1069528247729165e-6,picker,62,0.9148060434963554,4.685377066489309,1,1
1,0,0.9999999997837231,4.1069528247729165e-6,picker,63,0.9148060434963554,4.685377066489309,0,1
0,0,0.0851939564852191,4.1069528247729165e-6,picker,64,0.9148060434963554,4.685377066489309,1,1
0,1,0.0851939564852191,3.498875603162241e-7,picker,65,0.9148060434963554,4.685377066489309,0,1
0,0,0.0851939564852191,0.914806073304661,picker,66,0.9148060434963554,4.685377066489309,1,1
0,1,0.0851939564852191,0.07793594881838717,picker,67,0.9148060434963554,4.685377066489309,0,1
0,1,0.0851939564852191,0.9214457153300594,picker,68,0.9148060434963554,4.685377066489309,0,1
0,0,0.0851939564852191,0.9933076496886541,picker,69,0.9148060434963554,4.685377066489309,1,1
1,1,0.0851939564852191,0.08462380870231268,picker,70,0.9148060434963554,4.685377066489309,1,1
1,1,0.9220640537195306,0.08462380870231268,picker,71,0.9148060434963554,4.685377066489309,1,1
1,1,0.9933603283825113,0.08462380870231268,picker,72,0.9148060434963554,4.685377066489309,1,1
1,1,0.9994343401050212,0.08462380870231268,picker,73,0.9148060434963554,4.685377066489309,1,1
1,1,0.9999518091955113,0.08462380870231268,picker,74,0.9148060434963554,4.685377066489309,1,1
1,1,0.9999958944346985,0.08462380870231268,picker,75,0.9148060434963554,4.685377066489309,1,1
1,1,0.9999996502306483,0.08462380870231268,picker,76,0.9148060434963554,4.685377066489309,1,1
1,1,0.999999970201765,0.08462380870231268,picker,77,0.9148060434963554,4.685377066489309,1,1
1,1,0.9999999974613705,0.08462380870231268,picker,78,0.9148060434963554,4.685377066489309,1,1
1,1,0.9999999997837241,0.08462380870231268,picker,79,0.9148060434963554,4.685377066489309,1,1
1,0,0.9999999999815746,0.08462380870231268,picker,80,0.9148060434963554,4.685377066489309,0,1
1,1,0.08519395650207484,0.08462380870231268,picker,81,0.9148060434963554,4.685377066489309,1,1
1,1,0.9220640537209666,0.08462380870231268,picker,82,0.9148060434963554,4.685377066489309,1,1
1,1,0.9933603283826337,0.08462380870231268,picker,83,0.9148060434963554,4.685377066489309,1,1
1,1,0.9994343401050316,0.08462380870231268,picker,84,0.9148060434963554,4.685377066489309,1,1
1,1,0.9999518091955122,0.08462380870231268,picker,85,0.9148060434963554,4.685377066489309,1,1
1,1,0.9999958944346986,0.08462380870231268,picker,86,0.9148060434963554,4.685377066489309,1,1
1,1,0.9999996502306483,0.08462380870231268,picker,87,0.9148060434963554,4.685377066489309,1,1
1,0,0.999999970201765,0.08462380870231268,picker,88,0.9148060434963554,4.685377066489309,0,1
0,0,0.08519395396501506,0.08462380870231268,picker,89,0.9148060434963554,4.685377066489309,1,1
