trial,value1_median,value2_median,value1_3rd_quartile,value2_3rd_quartile,value1_1st_quartile,value2_1st_quartile,hider_choice
107,0.23720950000000002,0.00198595,0.53695925,0.056129200000000004,0.058727600000000005,9.181037499999998e-6,1
108,0.23720950000000002,9.69687e-4,0.53695925,0.042639224999999996,0.058727600000000005,2.2249625e-6,1
109,0.23720950000000002,4.7347199999999996e-4,0.53695925,0.0323914,0.058727600000000005,5.39206e-7,1
110,0.700867,4.7347199999999996e-4,0.7934572500000001,0.0323914,0.6354955,5.39206e-7,1
111,0.8181425,4.7347199999999996e-4,0.9447185,0.0323914,0.7575155,5.39206e-7,1
112,0.911204,4.7347199999999996e-4,0.98660325,0.0323914,0.81124575,5.39206e-7,0
113,0.44491650000000005,4.7347199999999996e-4,0.6019065,0.0323914,0.23909675,5.39206e-7,1
114,0.7494025,4.7347199999999996e-4,0.8156,0.0323914,0.7124349999999999,5.39206e-7,1
115,0.7494025,2.311835e-4,0.8156,0.02460655,0.7124349999999999,1.3067300000000002e-7,1
116,0.867662,2.311835e-4,0.9553117499999999,0.02460655,0.787106,1.3067300000000002e-7,1
117,0.9353830000000001,2.311835e-4,0.98917,0.02460655,0.82768275,1.3067300000000002e-7,1
118,0.9684495,2.311835e-4,0.9973755000000001,0.02460655,0.86909675,1.3067300000000002e-7,1
119,0.9845945,2.311835e-4,0.9993642500000001,0.02460655,0.9005575,1.3067300000000002e-7,1
120,0.992478,2.311835e-4,0.999846,0.02460655,0.92445775,1.3067300000000002e-7,0
