trial,value1_median,value2_median,value1_3rd_quartile,value2_3rd_quartile,value1_1st_quartile,value2_1st_quartile,hider_choice
102,0.9788635000000001,0.0104236,0.9992135,0.09890695,0.89293,1.9070975000000002e-4,1
103,0.98968,0.0104236,0.99980925,0.09890695,0.91866275,1.9070975000000002e-4,1
104,0.994961,0.0104236,0.999954,0.09890695,0.938211,1.9070975000000002e-4,1
105,0.9975395,0.0104236,0.999989,0.09890695,0.95306125,1.9070975000000002e-4,0
106,0.4870715,0.0104236,0.7074585,0.09890695,0.242341,1.9070975000000002e-4,0
107,0.237824,0.0104236,0.5450539999999999,0.09890695,0.058729699999999996,1.9070975000000002e-4,1
108,0.237824,0.00508956,0.5450539999999999,0.07513589999999999,0.058729699999999996,4.6217274999999994e-5,1
109,0.237824,0.002485095,0.5450539999999999,0.05707795,0.058729699999999996,1.1200425e-5,1
110,0.7052455,0.002485095,0.798503,0.05707795,0.6382175,1.1200425e-5,1
111,0.818289,0.002485095,0.94471875,0.05707795,0.7618235,1.1200425e-5,1
112,0.9112754999999999,0.002485095,0.98660325,0.05707795,0.81614075,1.1200425e-5,0
113,0.4449515,0.002485095,0.60464575,0.05707795,0.23909675,1.1200425e-5,1
114,0.7512595,0.002485095,0.8156,0.05707795,0.71400025,1.1200425e-5,1
115,0.7512595,0.0012134099999999998,0.8156,0.04335995,0.71400025,2.71436e-6,1
116,0.8676705,0.0012134099999999998,0.9553117499999999,0.04335995,0.7903304999999999,2.71436e-6,1
117,0.935387,0.0012134099999999998,0.98917,0.04335995,0.8289390000000001,2.71436e-6,1
118,0.9684515,0.0012134099999999998,0.9973755000000001,0.04335995,0.87005175,2.71436e-6,1
119,0.9845955,0.0012134099999999998,0.9993642500000001,0.04335995,0.90128275,2.71436e-6,1
120,0.9924785,0.0012134099999999998,0.999846,0.04335995,0.925008,2.71436e-6,0
